BW,Min,P_Min,Max,P_Max,Avg,P_Avg,Samples,,,,,,,
1550,4.2,7.8645,4.272,7.9327,4.23225,7.892612061796,8,,,,,,,
1555,4.2,7.8652,4.279,7.9311,4.236,7.892227061796,12,,,,,,,
1560,4.203,7.8656,4.252,7.93,4.21988888889,7.891677061796,9,,,,,,,
1565,4.202,7.8664,4.274,7.9313,4.244625,7.892700672907,16,,,,,,,
1570,4.208,7.8663,4.274,7.9309,4.22255555556,7.891108761142,9,,,,,,,
1575,4.201,7.8657,4.279,7.9305,4.23288888889,7.892719872253,9,,,,,,,
1580,4.211,7.8657,4.282,7.9308,4.23554545455,7.892666277482,11,,,,,,,
1585,4.21,7.8647,4.28,7.9308,4.233125,7.891564673203,8,,,,,,,
1590,4.209,7.8639,4.28,7.9299,4.24335294118,7.891635506536,17,,,,,,,
1595,4.201,7.8633,4.255,7.928,4.22588888889,7.889760212418,9,,,,,,,
1600,4.207,7.8635,4.256,7.9305,4.2284,7.891171323529,10,,,,,,,
1605,4.204,7.8631,4.268,7.9318,4.2305,7.891576778074,12,,,,,,,
1610,4.211,7.8653,4.265,7.9308,4.230125,7.892226778074,8,,,,,,,
